#,日期-时间 (China Standard Time),Ch:2 - 温度   (°C),Ch:3 - 相对湿度   (%),Ch:4 - 光   (lux),露点   (°C),传感器已通电,传感器未通电,连接的主机,文件结尾
60,07/14/2023 14:11:21,26.411,60.01,0,18.05,,,,
61,07/14/2023 14:11:26,26.447,60.17,0,18.12,,,,
62,07/14/2023 14:11:31,26.487,60.24,0,18.18,,,,
63,07/14/2023 14:11:36,26.528,60.22,189.2,18.21,,,,
64,07/14/2023 14:11:41,26.634,60.69,439.84,18.43,,,,
65,07/14/2023 14:11:46,26.687,59.99,438.72,18.3,,,,
66,07/14/2023 14:11:51,26.695,58.52,439.84,17.91,,,,
67,07/14/2023 14:11:56,26.704,57.92,439.84,17.75,,,,
68,07/14/2023 14:12:01,26.713,57.64,449.44,17.69,,,,
69,07/14/2023 14:12:06,26.721,57.46,439.84,17.64,,,,
70,07/14/2023 14:12:11,26.728,57.34,63.44,17.62,,,,
71,07/14/2023 14:12:16,26.759,58.69,456.96,18.02,,,,
72,07/14/2023 14:12:21,26.75,57.99,434.4,17.82,,,,
73,07/14/2023 14:12:26,26.747,57.65,454.72,17.72,,,,
74,07/14/2023 14:12:31,26.756,57.57,159.12,17.71,,,,
75,07/14/2023 14:12:36,26.773,57.87,460.32,17.81,,,,
76,07/14/2023 14:12:41,26.787,58.14,461.44,17.89,,,,
77,07/14/2023 14:12:46,26.796,58.15,425.92,17.9,,,,
78,07/14/2023 14:12:51,26.802,58.32,463.68,17.96,,,,
79,07/14/2023 14:12:56,26.808,58.55,464.64,18.02,,,,
80,07/14/2023 14:13:01,26.811,58.8,426.88,18.09,,,,
81,07/14/2023 14:13:06,26.82,58.97,432.32,18.15,,,,
82,07/14/2023 14:13:11,26.825,59.36,279.76,18.26,,,,
83,07/14/2023 14:13:16,26.83,59.5,463.68,18.3,,,,
84,07/14/2023 14:13:21,26.834,59.42,459.36,18.28,,,,
85,07/14/2023 14:13:26,26.842,59.53,463.68,18.32,,,,
86,07/14/2023 14:13:31,26.845,59.6,461.44,18.34,,,,
87,07/14/2023 14:13:36,26.849,59.62,462.56,18.35,,,,
88,07/14/2023 14:13:41,26.856,59.75,461.44,18.39,,,,
89,07/14/2023 14:13:46,26.863,60.07,45.16,18.49,,,,
90,07/14/2023 14:13:51,26.869,60.67,457.12,18.65,,,,
91,07/14/2023 14:13:56,26.874,60.74,451.52,18.67,,,,
92,07/14/2023 14:14:01,26.897,61.14,440.8,18.8,,,,
93,07/14/2023 14:14:06,26.903,61.29,457.92,18.85,,,,
94,07/14/2023 14:14:11,26.909,61.36,460.32,18.87,,,,
95,07/14/2023 14:14:16,26.912,61.59,461.44,18.93,,,,
96,07/14/2023 14:14:21,26.917,61.71,461.44,18.97,,,,
97,07/14/2023 14:14:26,26.923,61.95,459.36,19.04,,,,
98,07/14/2023 14:14:31,26.935,62.46,459.36,19.18,,,,
99,07/14/2023 14:14:36,26.929,62.68,136.52,19.23,,,,
100,07/14/2023 14:14:41,26.895,62.58,140.92,19.17,,,,
101,07/14/2023 14:14:46,26.888,62.73,450.56,19.2,,,,
102,07/14/2023 14:14:51,26.901,62.86,450.56,19.25,,,,
103,07/14/2023 14:14:56,26.912,62.77,451.52,19.24,,,,
104,07/14/2023 14:15:01,26.923,62.68,451.52,19.22,,,,
105,07/14/2023 14:15:06,26.932,62.57,449.44,19.21,,,,
106,07/14/2023 14:15:11,26.94,62.64,450.56,19.23,,,,
107,07/14/2023 14:15:16,26.949,62.83,242,19.29,,,,
108,07/14/2023 14:15:21,26.955,63,242,19.34,,,,
109,07/14/2023 14:15:26,26.964,63.17,396.64,19.39,,,,
110,07/14/2023 14:15:31,26.972,63.53,429.12,19.49,,,,
111,07/14/2023 14:15:36,26.964,63.69,448.32,19.52,,,,
112,07/14/2023 14:15:41,26.958,63.6,451.52,19.49,,,,
113,07/14/2023 14:15:46,26.952,63.57,451.52,19.48,,,,
114,07/14/2023 14:15:51,26.946,63.56,449.44,19.47,,,,
115,07/14/2023 14:15:56,26.943,63.54,447.2,19.46,,,,
116,07/14/2023 14:16:01,26.94,63.58,424.8,19.47,,,,
117,07/14/2023 14:16:06,26.943,63.59,102.12,19.47,,,,
118,07/14/2023 14:16:11,26.96,63.79,438.72,19.54,,,,
119,07/14/2023 14:16:16,26.974,63.73,417.28,19.54,,,,
120,07/14/2023 14:16:21,26.981,63.76,418.4,19.55,,,,
121,07/14/2023 14:16:26,26.986,63.7,416.16,19.54,,,,
122,07/14/2023 14:16:31,26.992,63.73,358.08,19.56,,,,
123,07/14/2023 14:16:36,26.998,63.71,432.32,19.56,,,,
124,07/14/2023 14:16:41,27.009,63.69,433.28,19.56,,,,
125,07/14/2023 14:16:46,27.019,63.64,434.4,19.56,,,,
126,07/14/2023 14:16:51,27.03,63.62,424.8,19.56,,,,
127,07/14/2023 14:16:56,27.128,64.73,298.96,19.94,,,,
128,07/14/2023 14:17:01,27.15,64.07,77.96,19.79,,,,
129,07/14/2023 14:17:06,27.136,64.09,124.72,19.78,,,,
130,07/14/2023 14:17:11,27.128,64.04,202.32,19.76,,,,
131,07/14/2023 14:17:16,27.138,63.87,474.24,19.73,,,,
132,07/14/2023 14:17:21,27.141,63.7,464.64,19.69,,,,
133,07/14/2023 14:17:26,27.148,63.57,475.36,19.66,,,,
134,07/14/2023 14:17:31,27.161,63.55,477.6,19.67,,,,
135,07/14/2023 14:17:36,27.168,63.53,472.16,19.67,,,,
136,07/14/2023 14:17:41,27.174,63.48,464.64,19.67,,,,
137,07/14/2023 14:17:46,27.181,63.39,478.56,19.65,,,,
138,07/14/2023 14:17:51,27.188,63.22,481.76,19.61,,,,
139,07/14/2023 14:17:56,27.201,63.2,480.8,19.62,,,,
140,07/14/2023 14:18:01,27.21,63.13,480.8,19.61,,,,
141,07/14/2023 14:18:06,27.217,63.02,482.88,19.59,,,,
142,07/14/2023 14:18:11,27.219,62.91,470.08,19.56,,,,
143,07/14/2023 14:18:16,27.22,62.8,293.68,19.53,,,,
144,07/14/2023 14:18:21,27.222,62.7,411.2,19.51,,,,
145,07/14/2023 14:18:26,27.228,62.61,47.3,19.49,,,,
146,07/14/2023 14:18:31,27.24,62.3,34.93,19.42,,,,
147,07/14/2023 14:18:36,27.245,62.41,47.3,19.46,,,,
148,07/14/2023 14:18:41,27.244,62.36,47.3,19.44,,,,
149,07/14/2023 14:18:46,27.237,61.73,45.16,19.27,,,,
150,07/14/2023 14:18:51,27.236,61.63,47.3,19.25,,,,
151,07/14/2023 14:18:56,27.25,61.69,47.84,19.28,,,,
152,07/14/2023 14:19:01,27.256,61.74,46.78,19.29,,,,
153,07/14/2023 14:19:06,27.259,61.77,47.3,19.3,,,,
154,07/14/2023 14:19:11,27.262,61.82,42.96,19.32,,,,
155,07/14/2023 14:19:16,27.27,61.82,43.56,19.33,,,,
156,07/14/2023 14:19:21,27.277,61.81,43.56,19.33,,,,
157,07/14/2023 14:19:26,27.282,61.76,44.64,19.32,,,,
158,07/14/2023 14:19:31,27.29,61.68,47.3,19.31,,,,
159,07/14/2023 14:19:36,27.296,61.59,47.3,19.29,,,,
160,07/14/2023 14:19:41,27.303,61.48,28.98,19.27,,,,
161,07/14/2023 14:19:46,27.311,61.39,18.27,19.26,,,,
162,07/14/2023 14:19:51,27.32,61.35,478.08,19.25,,,,
163,07/14/2023 14:19:56,27.334,61.33,478.88,19.26,,,,
164,07/14/2023 14:20:01,27.362,61.34,495.2,19.29,,,,
165,07/14/2023 14:20:06,27.366,61.25,372.32,19.27,,,,
166,07/14/2023 14:20:11,27.37,61.18,17.2,19.25,,,,
167,07/14/2023 14:20:16,27.382,61.16,16.39,19.26,,,,
168,07/14/2023 14:20:21,27.402,61.05,6.96,19.25,,,,
169,07/14/2023 14:20:26,27.419,60.94,39.75,19.24,,,,
170,07/14/2023 14:20:31,27.419,60.71,15.02,19.18,,,,
171,07/14/2023 14:20:36,27.419,60.6,476.96,19.15,,,,
172,07/14/2023 14:20:41,27.429,60.62,501.6,19.16,,,,
173,07/14/2023 14:20:46,27.434,60.8,536.96,19.21,,,,
174,07/14/2023 14:20:51,27.429,60.4,133.44,19.11,,,,
175,07/14/2023 14:20:56,27.433,60.2,54.88,19.06,,,,
176,07/14/2023 14:21:01,27.439,59.86,90.92,18.97,,,,
177,07/14/2023 14:21:06,27.44,60.83,60.22,19.23,,,,
178,07/14/2023 14:21:11,27.697,60.55,178.64,19.4,,,,
179,07/14/2023 14:21:16,27.72,60.33,208.64,19.36,,,,
180,07/14/2023 14:21:21,27.696,60.42,684.16,19.36,,,,
181,07/14/2023 14:21:26,27.676,60.54,680.96,19.37,,,,
182,07/14/2023 14:21:31,27.673,60.56,677.76,19.38,,,,
183,07/14/2023 14:21:36,27.665,60.46,679.68,19.34,,,,
184,07/14/2023 14:21:41,27.663,60.36,679.68,19.31,,,,
185,07/14/2023 14:21:46,27.663,60.24,679.68,19.28,,,,
186,07/14/2023 14:21:51,27.66,59.97,660.16,19.21,,,,
187,07/14/2023 14:21:56,27.665,59.86,686.4,19.18,,,,
188,07/14/2023 14:22:01,27.666,59.71,334.56,19.14,,,,
189,07/14/2023 14:22:06,27.676,62.88,276.48,19.98,,,,
190,07/14/2023 14:22:11,27.702,61.88,348.48,19.75,,,,
191,07/14/2023 14:22:16,27.713,61.84,360.32,19.75,,,,
192,07/14/2023 14:22:21,27.793,61.54,352.8,19.75,,,,
193,07/14/2023 14:22:26,27.833,61.02,308.64,19.65,,,,
194,07/14/2023 14:22:31,28.328,61.1,311.84,20.13,,,,
195,07/14/2023 14:22:36,28.625,62.36,307.6,20.75,,,,
196,07/14/2023 14:22:41,28.791,63.52,242,21.2,,,,
197,07/14/2023 14:22:46,28.687,61.65,323.6,20.62,,,,
198,07/14/2023 14:22:51,28.603,60.06,42.48,20.12,,,,
199,07/14/2023 14:22:56,28.597,60.84,57.48,20.32,,,,
200,07/14/2023 14:23:01,28.594,62.52,39.22,20.76,,,,
201,07/14/2023 14:23:06,28.585,61.24,102.12,20.41,,,,
202,07/14/2023 14:23:11,28.562,61.56,102.12,20.48,,,,
203,07/14/2023 14:23:16,28.535,60.09,99.96,20.06,,,,
204,07/14/2023 14:23:21,28.498,59.4,101.04,19.84,,,,
205,07/14/2023 14:23:26,28.464,58.73,101.04,19.62,,,,
206,07/14/2023 14:23:31,28.439,58.83,102.12,19.63,,,,
207,07/14/2023 14:23:36,28.431,60.75,88.12,20.14,,,,
208,07/14/2023 14:23:41,28.427,59.68,74.68,19.85,,,,
209,07/14/2023 14:23:46,28.413,58.35,55.88,19.47,,,,
210,07/14/2023 14:23:51,28.481,58.58,70.94,19.6,,,,
211,07/14/2023 14:23:56,28.462,58.86,14.22,19.66,,,,
212,07/14/2023 14:24:01,28.427,58.03,14.75,19.4,,,,
213,07/14/2023 14:24:06,28.402,57.37,76.9,19.19,,,,
214,07/14/2023 14:24:11,28.383,57.36,77.96,19.17,,,,
215,07/14/2023 14:24:16,28.369,57.81,75.82,19.28,,,,
216,07/14/2023 14:24:21,28.345,57.11,85.44,19.06,,,,
217,07/14/2023 14:24:26,28.324,56.67,81.7,18.92,,,,
218,07/14/2023 14:24:31,28.314,56.41,62.9,18.84,,,,
219,07/14/2023 14:24:36,28.306,56.82,74.68,18.94,,,,
220,07/14/2023 14:24:41,28.295,56.67,75.22,18.89,,,,
221,07/14/2023 14:24:46,28.283,56.29,57.02,18.77,,,,
222,07/14/2023 14:24:51,28.259,56.39,73.62,18.78,,,,
223,07/14/2023 14:24:56,28.427,56.68,45.7,19.02,,,,
224,07/14/2023 14:25:01,28.802,57.37,13.15,19.56,,,,
225,07/14/2023 14:25:06,28.72,57.41,324.72,19.5,,,,
226,07/14/2023 14:25:11,28.672,58.06,334.56,19.63,,,,
227,07/14/2023 14:25:16,28.619,56.82,376.32,19.24,,,,
228,07/14/2023 14:25:21,28.582,56.06,373.12,18.98,,,,
229,07/14/2023 14:25:26,28.548,55.59,340.96,18.82,,,,
230,07/14/2023 14:25:31,28.531,55.62,356,18.81,,,,
231,07/14/2023 14:25:36,28.513,55.37,280.8,18.72,,,,
232,07/14/2023 14:25:41,28.49,55.43,387.36,18.72,,,,
233,07/14/2023 14:25:46,28.465,55.73,374.24,18.78,,,,
234,07/14/2023 14:25:51,28.451,55.8,372,18.79,,,,
235,07/14/2023 14:25:56,28.427,55.68,290.4,18.73,,,,
236,07/14/2023 14:26:01,28.393,55.35,373.12,18.61,,,,
237,07/14/2023 14:26:06,28.362,55.2,373.12,18.53,,,,
238,07/14/2023 14:26:11,28.335,55.15,374.24,18.49,,,,
239,07/14/2023 14:26:16,28.323,55.03,373.12,18.45,,,,
240,07/14/2023 14:26:21,28.315,55.03,374.24,18.44,,,,
241,07/14/2023 14:26:26,28.314,55.23,373.12,18.5,,,,
242,07/14/2023 14:26:31,28.309,55.21,321.76,18.49,,,,
243,07/14/2023 14:26:36,28.303,55.26,215.04,18.49,,,,
244,07/14/2023 14:26:41,28.289,55.22,251.6,18.47,,,,
245,07/14/2023 14:26:46,28.28,55.27,182.8,18.48,,,,
246,07/14/2023 14:26:51,28.273,55.21,375.2,18.45,,,,
247,07/14/2023 14:26:56,28.256,54.88,375.2,18.34,,,,
248,07/14/2023 14:27:01,28.253,55.05,374.24,18.39,,,,
249,07/14/2023 14:27:06,28.249,54.97,388.32,18.36,,,,
250,07/14/2023 14:27:11,28.242,54.96,379.52,18.35,,,,
251,07/14/2023 14:27:16,28.239,54.76,374.24,18.29,,,,
252,07/14/2023 14:27:21,28.227,54.82,375.2,18.3,,,,
253,07/14/2023 14:27:26,28.216,54.82,375.2,18.29,,,,
254,07/14/2023 14:27:31,28.211,54.64,376.32,18.23,,,,
255,07/14/2023 14:27:36,28.19,54.55,376.32,18.18,,,,
256,07/14/2023 14:27:41,28.185,54.43,375.2,18.14,,,,
257,07/14/2023 14:27:46,28.176,54.32,376.32,18.1,,,,
258,07/14/2023 14:27:51,28.162,54.21,67.72,18.06,,,,
259,07/14/2023 14:27:56,28.153,54.23,364.48,18.06,,,,
260,07/14/2023 14:28:01,28.151,54.12,337.6,18.02,,,,
261,07/14/2023 14:28:06,28.146,54.21,362.4,18.05,,,,
262,07/14/2023 14:28:11,28.143,54.23,365.6,18.05,,,,
263,07/14/2023 14:28:16,28.131,53.93,363.52,17.95,,,,
264,07/14/2023 14:28:21,28.12,53.91,357.12,17.93,,,,
265,07/14/2023 14:28:26,28.114,53.67,358.08,17.85,,,,
266,07/14/2023 14:28:31,28.244,53.99,52.72,18.07,,,,
267,07/14/2023 14:28:36,28.38,54.63,70.94,18.38,,,,
268,07/14/2023 14:28:41,28.346,53.92,652.64,18.14,,,,
269,07/14/2023 14:28:46,28.314,53.69,644,18.05,,,,
270,07/14/2023 14:28:51,28.286,54.36,657.92,18.22,,,,
271,07/14/2023 14:28:56,28.261,53.96,657.92,18.08,,,,
272,07/14/2023 14:29:01,28.239,53.3,647.2,17.86,,,,
273,07/14/2023 14:29:06,28.21,53.17,621.6,17.79,,,,
274,07/14/2023 14:29:11,28.174,53.25,621.6,17.79,,,,
275,07/14/2023 14:29:16,28.171,53.08,127,17.73,,,,
276,07/14/2023 14:29:21,28.211,54.57,70.94,18.21,,,,
277,07/14/2023 14:29:26,28.23,54.77,52.66,18.28,,,,
278,07/14/2023 14:29:31,28.258,55.68,79.04,18.57,,,,
279,07/14/2023 14:29:36,28.283,56.31,72,18.78,,,,
280,07/14/2023 14:29:41,28.301,58.94,48.38,19.53,,,,
281,07/14/2023 14:29:46,28.309,56.51,83.84,18.86,,,,
282,07/14/2023 14:29:51,28.31,56.5,23.92,18.86,,,,
283,07/14/2023 14:29:56,28.318,56.25,66.12,18.79,,,,
284,07/14/2023 14:30:01,28.32,55.68,81.7,18.63,,,,
285,07/14/2023 14:30:06,28.321,54.95,73.68,18.42,,,,
286,07/14/2023 14:30:11,28.323,55.96,33.86,18.71,,,,
287,07/14/2023 14:30:16,28.328,56.58,77.42,18.9,,,,
288,07/14/2023 14:30:21,28.335,55.09,74.68,18.48,,,,
289,07/14/2023 14:30:25,,,,,已记录,,,
290,07/14/2023 14:30:26,28.355,57.33,75.82,19.13,,已记录,,
291,07/14/2023 14:30:29,,,,,已记录,,,
292,07/14/2023 14:30:30,,,,,,已记录,,
293,07/14/2023 14:30:31,28.351,56.49,72.54,18.89,,,,
294,07/14/2023 14:30:33,,,,,已记录,,,
295,07/14/2023 14:30:35,,,,,,已记录,,
296,07/14/2023 14:30:36,28.331,54.73,74.14,18.37,,,,
297,07/14/2023 14:30:41,28.32,53.81,77.96,18.09,,,,
298,07/14/2023 14:30:46,28.303,53.42,75.28,17.96,,,,
299,07/14/2023 14:30:51,28.297,53.25,79.04,17.9,,,,
300,07/14/2023 14:30:56,28.297,53.18,77.42,17.88,,,,
301,07/14/2023 14:31:01,28.301,53.36,82.24,17.94,,,,
302,07/14/2023 14:31:06,28.306,52.83,82.76,17.78,,,,
303,07/14/2023 14:31:11,28.309,53.13,80.1,17.87,,,,
304,07/14/2023 14:31:16,28.31,53.72,88.68,18.05,,,,
305,07/14/2023 14:31:21,28.312,53.7,85.44,18.05,,,,
306,07/14/2023 14:31:26,28.31,52.93,88.68,17.81,,,,
307,07/14/2023 14:31:31,28.307,53.08,81.18,17.86,,,,
308,07/14/2023 14:31:36,28.306,53.58,86,18,,,,
309,07/14/2023 14:31:41,28.306,53.84,82.24,18.08,,,,
310,07/14/2023 14:31:46,28.306,53.5,22.85,17.98,,,,
311,07/14/2023 14:31:51,28.306,53.69,23.92,18.04,,,,
312,07/14/2023 14:31:56,28.306,54.17,26.06,18.18,,,,
313,07/14/2023 14:32:01,28.306,54.22,26.6,18.19,,,,
314,07/14/2023 14:32:06,28.304,54.12,26.87,18.16,,,,
315,07/14/2023 14:32:11,28.303,53.93,26.87,18.11,,,,
316,07/14/2023 14:32:16,28.3,53.72,26.87,18.04,,,,
317,07/14/2023 14:32:21,28.292,53.67,26.87,18.02,,,,
318,07/14/2023 14:32:26,28.286,53.72,26.87,18.03,,,,
319,07/14/2023 14:32:31,28.278,53.74,26.87,18.03,,,,
320,07/14/2023 14:32:36,28.269,53.83,26.87,18.04,,,,
321,07/14/2023 14:32:41,28.262,53.84,26.87,18.04,,,,
322,07/14/2023 14:32:46,28.258,53.85,26.87,18.04,,,,
323,07/14/2023 14:32:51,28.242,53.93,26.87,18.05,,,,
324,07/14/2023 14:32:56,28.228,53.99,26.87,18.06,,,,
325,07/14/2023 14:33:01,28.221,54.03,26.33,18.06,,,,
326,07/14/2023 14:33:06,28.215,54.2,26.6,18.1,,,,
327,07/14/2023 14:33:11,28.205,54.26,26.6,18.11,,,,
328,07/14/2023 14:33:16,28.185,54.31,26.6,18.11,,,,
329,07/14/2023 14:33:21,28.176,54.47,26.6,18.15,,,,
330,07/14/2023 14:33:26,28.167,54.48,26.6,18.14,,,,
331,07/14/2023 14:33:31,28.162,54.59,26.6,18.17,,,,
332,07/14/2023 14:33:36,28.16,54.63,26.6,18.18,,,,
333,07/14/2023 14:33:41,28.162,54.65,26.6,18.19,,,,
334,07/14/2023 14:33:46,28.159,54.76,26.6,18.22,,,,
335,07/14/2023 14:33:51,28.159,54.77,26.6,18.22,,,,
336,07/14/2023 14:33:56,28.16,54.76,26.6,18.22,,,,
337,07/14/2023 14:34:01,28.157,54.87,26.6,18.25,,,,
338,07/14/2023 14:34:06,28.151,54.96,26.6,18.27,,,,
339,07/14/2023 14:34:11,28.146,54.94,26.6,18.26,,,,
340,07/14/2023 14:34:16,28.145,54.94,26.6,18.26,,,,
341,07/14/2023 14:34:21,28.139,55.09,26.6,18.29,,,,
342,07/14/2023 14:34:26,28.131,55.25,26.6,18.33,,,,
343,07/14/2023 14:34:31,28.125,55.28,26.6,18.34,,,,
344,07/14/2023 14:34:36,28.126,55.3,26.6,18.34,,,,
345,07/14/2023 14:34:41,28.125,55.36,26.6,18.36,,,,
346,07/14/2023 14:34:46,28.122,55.4,26.6,18.37,,,,
347,07/14/2023 14:34:51,28.119,55.44,26.6,18.38,,,,
348,07/14/2023 14:34:56,28.112,55.47,25.26,18.38,,,,
349,07/14/2023 14:35:01,28.114,55.6,25.26,18.42,,,,
350,07/14/2023 14:35:06,28.105,55.57,26.87,18.4,,,,
351,07/14/2023 14:35:11,28.099,55.86,26.87,18.48,,,,
352,07/14/2023 14:35:16,28.097,56.16,27.4,18.56,,,,
353,07/14/2023 14:35:21,28.099,56.47,27.13,18.65,,,,
354,07/14/2023 14:35:26,28.08,56.54,26.87,18.65,,,,
355,07/14/2023 14:35:31,28.068,56.74,26.6,18.7,,,,
356,07/14/2023 14:35:36,28.061,56.76,26.6,18.7,,,,
357,07/14/2023 14:35:41,28.051,56.64,23.92,18.66,,,,
358,07/14/2023 14:35:46,28.043,56.44,25.8,18.59,,,,
359,07/14/2023 14:35:51,28.037,55.92,26.6,18.44,,,,
360,07/14/2023 14:35:56,28.037,55.57,26.87,18.34,,,,
361,07/14/2023 14:36:01,28.032,55.43,26.87,18.29,,,,
362,07/14/2023 14:36:06,28.032,55.29,26.87,18.25,,,,
363,07/14/2023 14:36:11,28.034,55.35,26.87,18.27,,,,
364,07/14/2023 14:36:16,28.035,55.22,26.87,18.23,,,,
365,07/14/2023 14:36:21,28.035,55.14,26.6,18.21,,,,
366,07/14/2023 14:36:26,28.037,55.15,26.6,18.22,,,,
367,07/14/2023 14:36:31,28.038,55.14,26.87,18.21,,,,
368,07/14/2023 14:36:36,28.04,54.97,26.87,18.17,,,,
369,07/14/2023 14:36:41,28.041,54.96,26.87,18.16,,,,
370,07/14/2023 14:36:46,28.043,54.95,26.87,18.16,,,,
371,07/14/2023 14:36:51,28.043,54.9,26.87,18.15,,,,
372,07/14/2023 14:36:56,28.043,54.89,26.87,18.15,,,,
373,07/14/2023 14:37:01,28.041,54.8,26.87,18.12,,,,
374,07/14/2023 14:37:06,28.041,54.82,26.87,18.13,,,,
375,07/14/2023 14:37:11,28.043,54.92,26.87,18.15,,,,
376,07/14/2023 14:37:16,28.044,54.96,26.6,18.17,,,,
377,07/14/2023 14:37:21,28.043,54.94,27.13,18.16,,,,
378,07/14/2023 14:37:26,28.041,54.87,27.13,18.14,,,,
379,07/14/2023 14:37:31,28.041,54.79,27.13,18.12,,,,
380,07/14/2023 14:37:36,28.04,54.83,27.13,18.13,,,,
381,07/14/2023 14:37:41,28.035,54.77,27.13,18.1,,,,
382,07/14/2023 14:37:46,28.034,54.8,27.13,18.11,,,,
383,07/14/2023 14:37:51,28.035,54.74,27.13,18.1,,,,
384,07/14/2023 14:37:56,28.034,54.78,27.13,18.11,,,,
385,07/14/2023 14:38:01,28.032,54.79,27.13,18.11,,,,
386,07/14/2023 14:38:06,28.034,54.77,27.13,18.1,,,,
387,07/14/2023 14:38:11,28.034,54.75,27.13,18.1,,,,
388,07/14/2023 14:38:16,28.035,54.71,27.13,18.09,,,,
389,07/14/2023 14:38:21,28.034,54.72,27.13,18.09,,,,
390,07/14/2023 14:38:26,28.031,54.67,26.87,18.07,,,,
391,07/14/2023 14:38:31,28.031,54.67,27.13,18.07,,,,
392,07/14/2023 14:38:36,28.031,54.6,27.13,18.05,,,,
393,07/14/2023 14:38:41,28.029,54.5,27.13,18.02,,,,
394,07/14/2023 14:38:46,28.023,54.28,27.13,17.95,,,,
395,07/14/2023 14:38:51,28.02,54.42,27.13,17.99,,,,
396,07/14/2023 14:38:56,28.017,54.37,27.13,17.97,,,,
