#,日期-时间 (China Standard Time),Ch:2 - 温度   (°C),Ch:3 - 相对湿度   (%),Ch:4 - 光   (lux),露点   (°C),连接的主机,文件结尾
78,07/14/2023 14:12:05,28.687,57.33,0,19.44,,
79,07/14/2023 14:12:10,28.731,57.32,0,19.48,,
80,07/14/2023 14:12:15,28.765,57.34,0,19.52,,
81,07/14/2023 14:12:20,28.796,57.34,0,19.55,,
82,07/14/2023 14:12:25,28.818,57.33,0,19.57,,
83,07/14/2023 14:12:30,28.854,57.32,0,19.6,,
84,07/14/2023 14:12:35,28.883,57.33,0,19.63,,
85,07/14/2023 14:12:40,28.908,56.74,363.36,19.48,,
86,07/14/2023 14:12:45,28.919,52.89,448.16,18.37,,
87,07/14/2023 14:12:50,28.928,51.38,124.44,17.91,,
88,07/14/2023 14:12:55,28.928,50.83,435.2,17.74,,
89,07/14/2023 14:13:00,28.939,50.78,63.64,17.73,,
90,07/14/2023 14:13:05,28.938,50.95,443.2,17.79,,
91,07/14/2023 14:13:10,28.944,51.06,441.28,17.83,,
92,07/14/2023 14:13:15,28.944,51,435.04,17.81,,
93,07/14/2023 14:13:20,28.944,51.33,435.04,17.91,,
94,07/14/2023 14:13:25,28.935,52.11,344.48,18.14,,
95,07/14/2023 14:13:30,28.936,52.29,436.32,18.2,,
96,07/14/2023 14:13:35,28.938,52.15,432.32,18.16,,
97,07/14/2023 14:13:40,28.936,52.05,422.4,18.13,,
98,07/14/2023 14:13:45,28.925,52.99,222.08,18.4,,
99,07/14/2023 14:13:50,28.911,54.81,126.28,18.93,,
100,07/14/2023 14:13:55,28.906,54.52,432.96,18.84,,
101,07/14/2023 14:14:00,28.905,53.7,433.28,18.6,,
102,07/14/2023 14:14:05,28.902,53.7,437.28,18.59,,
103,07/14/2023 14:14:10,28.917,54.02,25.28,18.7,,
104,07/14/2023 14:14:15,29.008,55.11,7.43,19.11,,
105,07/14/2023 14:14:20,29.112,57.12,94.48,19.78,,
106,07/14/2023 14:14:25,29.501,56.12,48.2,19.86,,
107,07/14/2023 14:14:30,29.476,57.87,0,20.33,,
108,07/14/2023 14:14:35,29.393,57.11,84.04,20.04,,
109,07/14/2023 14:14:40,29.287,56.71,150.2,19.83,,
110,07/14/2023 14:14:45,29.226,57.97,1.98,20.12,,
111,07/14/2023 14:14:50,29.187,57.67,2.23,20.01,,
112,07/14/2023 14:14:55,29.149,60.89,1.98,20.85,,
113,07/14/2023 14:15:00,29.12,61.29,7.68,20.93,,
114,07/14/2023 14:15:05,29.149,59.73,10.9,20.54,,
115,07/14/2023 14:15:10,29.496,58.81,7.93,20.61,,
116,07/14/2023 14:15:15,29.822,58.61,65.68,20.86,,
117,07/14/2023 14:15:20,29.697,57.07,60.18,20.31,,
118,07/14/2023 14:15:25,29.554,56.22,60.18,19.94,,
119,07/14/2023 14:15:30,29.445,55.85,64.64,19.73,,
120,07/14/2023 14:15:35,29.387,56.02,56.2,19.72,,
121,07/14/2023 14:15:40,29.345,56.35,71.14,19.78,,
122,07/14/2023 14:15:45,29.299,56.46,57.2,19.77,,
123,07/14/2023 14:15:50,29.256,56.15,58.18,19.64,,
124,07/14/2023 14:15:55,29.273,56.21,6.19,19.67,,
125,07/14/2023 14:16:00,29.245,57.17,66.12,19.92,,
126,07/14/2023 14:16:05,29.184,55.75,67.18,19.46,,
127,07/14/2023 14:16:10,29.134,55.68,81.06,19.39,,
128,07/14/2023 14:16:15,29.1,56.06,68.66,19.47,,
129,07/14/2023 14:16:20,29.064,55.84,70.14,19.37,,
130,07/14/2023 14:16:25,29.042,55.45,67.18,19.24,,
131,07/14/2023 14:16:30,29.025,55.64,60.18,19.28,,
132,07/14/2023 14:16:35,28.994,55.84,13.13,19.3,,
133,07/14/2023 14:16:40,28.969,56.23,36.25,19.39,,
134,07/14/2023 14:16:45,28.947,56.36,34.76,19.41,,
135,07/14/2023 14:16:50,28.928,56.52,37.24,19.44,,
136,07/14/2023 14:16:55,28.902,56.43,34.27,19.39,,
137,07/14/2023 14:17:00,28.863,55.91,30.55,19.2,,
138,07/14/2023 14:17:05,28.826,56.2,39.72,19.25,,
139,07/14/2023 14:17:10,28.805,55.89,16.61,19.14,,
140,07/14/2023 14:17:15,28.784,56.22,48.2,19.22,,
141,07/14/2023 14:17:20,28.768,56.35,57.7,19.24,,
142,07/14/2023 14:17:25,28.762,56.34,50.68,19.23,,
143,07/14/2023 14:17:30,28.743,56.37,51.18,19.22,,
144,07/14/2023 14:17:35,28.734,56.19,44.74,19.16,,
145,07/14/2023 14:17:40,28.723,55.44,44.24,18.94,,
146,07/14/2023 14:17:45,28.709,54.79,53.16,18.74,,
147,07/14/2023 14:17:50,28.68,54.17,68.66,18.52,,
148,07/14/2023 14:17:55,28.67,53.82,68.66,18.41,,
149,07/14/2023 14:18:00,28.662,53.69,16.36,18.37,,
150,07/14/2023 14:18:05,28.656,54.84,43.26,18.7,,
151,07/14/2023 14:18:10,28.653,55.71,42.2,18.95,,
152,07/14/2023 14:18:15,28.645,56.07,42.2,19.05,,
153,07/14/2023 14:18:20,28.645,56.14,40.28,19.07,,
154,07/14/2023 14:18:25,28.63,55.54,5.94,18.88,,
155,07/14/2023 14:18:30,28.611,55.3,10.9,18.79,,
156,07/14/2023 14:18:35,28.594,55.12,6.44,18.73,,
157,07/14/2023 14:18:40,28.585,54.8,4.95,18.62,,
158,07/14/2023 14:18:45,28.58,55.47,5.45,18.81,,
159,07/14/2023 14:18:50,28.569,55.12,9.66,18.7,,
160,07/14/2023 14:18:55,28.56,55.05,10.16,18.67,,
161,07/14/2023 14:19:00,28.551,55.41,14.13,18.77,,
162,07/14/2023 14:19:05,28.54,55.65,14.13,18.83,,
163,07/14/2023 14:19:10,28.527,55.91,13.38,18.89,,
164,07/14/2023 14:19:15,28.512,55.75,14.13,18.83,,
165,07/14/2023 14:19:20,28.501,55.64,13.38,18.79,,
166,07/14/2023 14:19:25,28.492,55.59,13.63,18.77,,
167,07/14/2023 14:19:30,28.473,55.27,13.63,18.66,,
168,07/14/2023 14:19:35,28.455,54.84,13.38,18.51,,
169,07/14/2023 14:19:40,28.431,55.07,9.91,18.56,,
170,07/14/2023 14:19:45,28.425,55.4,16.11,18.65,,
171,07/14/2023 14:19:50,28.425,55.48,63.7,18.67,,
172,07/14/2023 14:19:55,28.42,55.4,62.72,18.65,,
173,07/14/2023 14:20:00,28.419,55.26,46.72,18.6,,
174,07/14/2023 14:20:05,28.417,55.24,44.24,18.59,,
175,07/14/2023 14:20:10,28.414,55.33,10.66,18.62,,
176,07/14/2023 14:20:15,28.413,55.52,11.89,18.67,,
177,07/14/2023 14:20:20,28.402,55.39,12.14,18.63,,
178,07/14/2023 14:20:25,28.38,54.93,13.38,18.47,,
179,07/14/2023 14:20:30,28.365,54.86,12.64,18.44,,
180,07/14/2023 14:20:35,28.357,55.06,63.7,18.49,,
181,07/14/2023 14:20:40,28.351,55.09,65.2,18.49,,
182,07/14/2023 14:20:45,28.34,54.98,64.7,18.45,,
183,07/14/2023 14:20:50,28.332,55,62.72,18.45,,
184,07/14/2023 14:20:55,28.332,54.97,64.7,18.44,,
185,07/14/2023 14:21:00,28.329,54.92,64.2,18.42,,
186,07/14/2023 14:21:05,28.324,54.93,64.2,18.42,,
187,07/14/2023 14:21:10,28.321,54.88,61.72,18.4,,
188,07/14/2023 14:21:15,28.312,54.86,62.22,18.39,,
189,07/14/2023 14:21:20,28.301,54.76,87.56,18.35,,
190,07/14/2023 14:21:25,28.297,54.76,84.08,18.34,,
191,07/14/2023 14:21:30,28.287,54.75,84.08,18.33,,
192,07/14/2023 14:21:35,28.284,54.73,31.54,18.32,,
193,07/14/2023 14:21:40,28.276,54.78,84.6,18.33,,
194,07/14/2023 14:21:45,28.264,54.83,95.56,18.34,,
195,07/14/2023 14:21:50,28.262,54.84,84.6,18.34,,
196,07/14/2023 14:21:55,28.255,54.76,109.44,18.31,,
197,07/14/2023 14:22:00,28.245,54.7,99.52,18.28,,
198,07/14/2023 14:22:05,28.245,54.71,91.52,18.28,,
199,07/14/2023 14:22:10,28.239,54.68,102.48,18.27,,
200,07/14/2023 14:22:15,28.238,54.65,107.44,18.26,,
201,07/14/2023 14:22:20,28.232,54.56,107.44,18.23,,
202,07/14/2023 14:22:25,28.218,54.5,108.44,18.19,,
203,07/14/2023 14:22:30,28.21,54.43,108.44,18.17,,
204,07/14/2023 14:22:35,28.202,54.34,108.44,18.13,,
205,07/14/2023 14:22:40,28.196,54.24,107.44,18.1,,
206,07/14/2023 14:22:45,28.191,54.19,107.44,18.08,,
207,07/14/2023 14:22:50,28.188,54.18,101.52,18.07,,
208,07/14/2023 14:22:55,28.184,54.13,101.52,18.06,,
209,07/14/2023 14:23:00,28.177,54.11,101.52,18.04,,
210,07/14/2023 14:23:05,28.171,54.06,92.44,18.02,,
211,07/14/2023 14:23:10,28.159,54.01,101.52,18,,
212,07/14/2023 14:23:15,28.154,54.06,102.48,18.01,,
213,07/14/2023 14:23:20,28.148,54.07,96.56,18,,
214,07/14/2023 14:23:25,28.139,54.07,87.04,18,,
215,07/14/2023 14:23:30,28.137,54.11,88.56,18.01,,
216,07/14/2023 14:23:35,28.128,54.03,97.52,17.97,,
217,07/14/2023 14:23:40,28.114,53.98,83.6,17.95,,
218,07/14/2023 14:23:45,28.103,54.03,92,17.95,,
219,07/14/2023 14:23:50,28.092,54.03,81.62,17.94,,
220,07/14/2023 14:23:55,28.091,53.95,10.9,17.92,,
221,07/14/2023 14:24:00,28.088,53.94,11.4,17.91,,
222,07/14/2023 14:24:05,28.085,53.96,30.8,17.91,,
223,07/14/2023 14:24:10,28.08,53.98,76.1,17.91,,
224,07/14/2023 14:24:15,28.082,54.03,75.1,17.93,,
225,07/14/2023 14:24:20,28.074,54.02,71.64,17.92,,
226,07/14/2023 14:24:25,28.068,54.03,74.62,17.92,,
227,07/14/2023 14:24:30,28.066,54.04,76.6,17.92,,
228,07/14/2023 14:24:35,28.061,53.99,70.64,17.9,,
229,07/14/2023 14:24:40,28.058,53.99,68.66,17.9,,
230,07/14/2023 14:24:45,28.057,53.99,74.62,17.9,,
231,07/14/2023 14:24:50,28.051,54.02,75.1,17.9,,
232,07/14/2023 14:24:55,28.048,54.03,74.62,17.9,,
233,07/14/2023 14:25:00,28.041,54.08,72.14,17.91,,
234,07/14/2023 14:25:05,28.032,54.01,76.6,17.88,,
235,07/14/2023 14:25:10,28.012,53.61,76.1,17.74,,
236,07/14/2023 14:25:15,28.01,53.87,76.6,17.82,,
237,07/14/2023 14:25:20,28.01,54.01,79.58,17.86,,
238,07/14/2023 14:25:25,28.007,54.02,78.58,17.86,,
239,07/14/2023 14:25:30,28.006,54.04,77.58,17.86,,
240,07/14/2023 14:25:35,28.004,53.99,78.58,17.85,,
241,07/14/2023 14:25:40,28.004,53.96,71.14,17.84,,
242,07/14/2023 14:25:45,28.003,54.06,79.08,17.87,,
243,07/14/2023 14:25:50,28,54.13,76.1,17.88,,
244,07/14/2023 14:25:55,27.997,54.14,76.1,17.88,,
245,07/14/2023 14:26:00,27.995,54.14,77.1,17.88,,
246,07/14/2023 14:26:05,27.995,54.15,77.58,17.89,,
247,07/14/2023 14:26:10,27.99,54.15,79.58,17.88,,
248,07/14/2023 14:26:15,27.992,54.1,75.6,17.87,,
249,07/14/2023 14:26:20,27.989,54.08,78.08,17.86,,
250,07/14/2023 14:26:25,27.987,54.08,77.58,17.86,,
251,07/14/2023 14:26:30,27.986,54.05,78.58,17.85,,
252,07/14/2023 14:26:35,27.983,54.04,75.1,17.84,,
253,07/14/2023 14:26:40,27.978,54.05,75.1,17.84,,
254,07/14/2023 14:26:45,27.978,54.1,78.58,17.86,,
255,07/14/2023 14:26:50,27.977,54.14,77.1,17.86,,
256,07/14/2023 14:26:55,27.97,54.19,78.58,17.87,,
257,07/14/2023 14:27:00,27.958,54.09,77.1,17.83,,
258,07/14/2023 14:27:05,27.956,54.16,95.56,17.85,,
259,07/14/2023 14:27:10,27.955,54.17,90.04,17.85,,
260,07/14/2023 14:27:15,27.952,54.1,74.62,17.83,,
261,07/14/2023 14:27:20,27.952,54.01,77.58,17.8,,
262,07/14/2023 14:27:25,27.95,53.82,76.6,17.75,,
263,07/14/2023 14:27:30,27.938,53.74,77.58,17.71,,
264,07/14/2023 14:27:35,27.924,53.5,77.58,17.63,,
265,07/14/2023 14:27:40,27.916,53.39,77.1,17.59,,
266,07/14/2023 14:27:45,27.913,53.23,78.08,17.54,,
267,07/14/2023 14:27:50,27.909,53.25,71.64,17.54,,
268,07/14/2023 14:27:55,27.895,53.09,72.14,17.48,,
269,07/14/2023 14:28:00,27.892,52.93,89.04,17.43,,
270,07/14/2023 14:28:05,27.889,52.89,88.04,17.41,,
271,07/14/2023 14:28:10,27.889,52.83,92.52,17.4,,
272,07/14/2023 14:28:15,27.885,52.6,89.52,17.32,,
273,07/14/2023 14:28:20,27.881,52.16,89.52,17.19,,
274,07/14/2023 14:28:25,27.873,51.95,87.04,17.12,,
275,07/14/2023 14:28:30,27.868,51.94,80.56,17.11,,
276,07/14/2023 14:28:35,27.862,51.63,84.6,17.01,,
277,07/14/2023 14:28:40,27.858,51.66,81.12,17.01,,
278,07/14/2023 14:28:45,27.856,51.66,79.58,17.01,,
279,07/14/2023 14:28:50,27.858,51.73,100.52,17.03,,
280,07/14/2023 14:28:55,27.856,51.76,102.48,17.04,,
281,07/14/2023 14:29:00,27.853,51.37,96.56,16.92,,
282,07/14/2023 14:29:05,27.847,51.13,81.56,16.84,,
283,07/14/2023 14:29:10,27.839,51.04,84.6,16.81,,
284,07/14/2023 14:29:15,27.83,50.54,71.14,16.64,,
285,07/14/2023 14:29:20,27.824,50.38,57.7,16.59,,
286,07/14/2023 14:29:25,27.822,50.65,62.66,16.67,,
287,07/14/2023 14:29:30,27.821,50.65,63.14,16.67,,
288,07/14/2023 14:29:35,27.819,50.89,60.66,16.74,,
289,07/14/2023 14:29:40,27.814,50.75,60.18,16.69,,
290,07/14/2023 14:29:45,27.805,50.55,40.71,16.62,,
291,07/14/2023 14:29:50,27.799,50.65,21.59,16.65,,
292,07/14/2023 14:29:55,27.791,50.69,20.57,16.65,,
293,07/14/2023 14:30:00,27.788,50.49,19.83,16.59,,
294,07/14/2023 14:30:05,27.784,50.83,18.84,16.69,,
295,07/14/2023 14:30:10,27.781,51.4,17.1,16.86,,
296,07/14/2023 14:30:15,27.776,51.22,16.36,16.8,,
297,07/14/2023 14:30:20,27.776,51.04,20.11,16.75,,
298,07/14/2023 14:30:25,27.777,51.25,18.84,16.81,,
299,07/14/2023 14:30:30,27.77,51.36,11.89,16.84,,
300,07/14/2023 14:30:35,27.754,51.3,16.85,16.81,,
301,07/14/2023 14:30:40,27.745,51.14,87.56,16.75,,
302,07/14/2023 14:30:45,27.748,50.98,85.08,16.7,,
303,07/14/2023 14:30:50,27.754,50.89,80.56,16.68,,
304,07/14/2023 14:30:55,27.756,50.53,85.08,16.57,,
305,07/14/2023 14:31:00,27.759,50.36,43.74,16.52,,
306,07/14/2023 14:31:05,27.757,50.44,41.2,16.54,,
307,07/14/2023 14:31:10,27.751,51.01,33.77,16.71,,
308,07/14/2023 14:31:15,27.748,51.5,88.56,16.86,,
309,07/14/2023 14:31:20,27.739,51.41,87.56,16.83,,
310,07/14/2023 14:31:25,27.739,51.48,87.04,16.85,,
311,07/14/2023 14:31:30,27.737,51.58,84.08,16.88,,
312,07/14/2023 14:31:35,27.727,51.84,88.04,16.95,,
313,07/14/2023 14:31:40,27.727,52.11,85.56,17.03,,
314,07/14/2023 14:31:45,27.727,52.28,41.7,17.08,,
315,07/14/2023 14:31:50,27.722,52.61,16.36,17.18,,
316,07/14/2023 14:31:55,27.717,52.68,28.07,17.19,,
317,07/14/2023 14:32:00,27.713,53.35,26.3,17.39,,
318,07/14/2023 14:32:05,27.703,53.63,26.83,17.46,,
319,07/14/2023 14:32:10,27.694,53.66,26.83,17.46,,
320,07/14/2023 14:32:15,27.691,53.74,26.83,17.49,,
321,07/14/2023 14:32:20,27.685,54.05,26.83,17.57,,
322,07/14/2023 14:32:25,27.68,54.37,26.83,17.66,,
323,07/14/2023 14:32:30,27.668,54.62,26.83,17.72,,
324,07/14/2023 14:32:35,27.659,54.73,26.83,17.74,,
325,07/14/2023 14:32:40,27.654,54.86,26.83,17.78,,
326,07/14/2023 14:32:45,27.646,55.09,26.83,17.84,,
327,07/14/2023 14:32:50,27.636,55.38,26.83,17.91,,
328,07/14/2023 14:32:55,27.63,55.48,26.83,17.93,,
329,07/14/2023 14:33:00,27.622,55.51,25.56,17.94,,
330,07/14/2023 14:33:05,27.619,55.56,26.3,17.95,,
331,07/14/2023 14:33:10,27.619,55.73,26.58,17.99,,
332,07/14/2023 14:33:15,27.616,55.83,26.58,18.02,,
333,07/14/2023 14:33:20,27.608,55.75,26.58,17.99,,
334,07/14/2023 14:33:25,27.603,55.8,26.58,18,,
335,07/14/2023 14:33:30,27.6,56.03,26.58,18.06,,
336,07/14/2023 14:33:35,27.599,56.15,26.58,18.1,,
337,07/14/2023 14:33:40,27.594,56.35,26.58,18.15,,
338,07/14/2023 14:33:45,27.586,56.51,26.58,18.19,,
339,07/14/2023 14:33:50,27.582,56.55,26.58,18.19,,
340,07/14/2023 14:33:55,27.577,56.39,26.58,18.14,,
341,07/14/2023 14:34:00,27.569,56.37,26.58,18.13,,
342,07/14/2023 14:34:05,27.563,56.64,26.58,18.2,,
343,07/14/2023 14:34:10,27.559,56.79,26.58,18.24,,
344,07/14/2023 14:34:15,27.551,56.81,26.58,18.24,,
345,07/14/2023 14:34:20,27.545,56.81,26.58,18.23,,
346,07/14/2023 14:34:25,27.539,56.88,26.58,18.25,,
347,07/14/2023 14:34:30,27.533,56.94,26.58,18.26,,
348,07/14/2023 14:34:35,27.525,56.91,26.58,18.24,,
349,07/14/2023 14:34:40,27.516,57,26.58,18.26,,
350,07/14/2023 14:34:45,27.513,57.11,26.58,18.28,,
351,07/14/2023 14:34:50,27.511,57.1,26.58,18.28,,
352,07/14/2023 14:34:55,27.506,57.18,20.35,18.3,,
353,07/14/2023 14:35:00,27.493,57.12,23.83,18.27,,
354,07/14/2023 14:35:05,27.479,57.2,18.09,18.28,,
355,07/14/2023 14:35:10,27.471,57.04,18.34,18.23,,
356,07/14/2023 14:35:15,27.465,57.09,19.08,18.24,,
357,07/14/2023 14:35:20,27.446,56.86,16.61,18.15,,
358,07/14/2023 14:35:25,27.437,56.92,15.12,18.16,,
359,07/14/2023 14:35:30,27.417,56.05,14.37,17.9,,
360,07/14/2023 14:35:35,27.397,55.35,14.13,17.68,,
361,07/14/2023 14:35:40,27.385,55.74,20.35,17.78,,
362,07/14/2023 14:35:45,27.377,55.94,19.83,17.83,,
363,07/14/2023 14:35:50,27.373,56.21,26.58,17.9,,
364,07/14/2023 14:35:55,27.373,56.29,26.34,17.92,,
365,07/14/2023 14:36:00,27.376,55.96,26.34,17.84,,
366,07/14/2023 14:36:05,27.376,55.66,26.34,17.75,,
367,07/14/2023 14:36:10,27.37,55.62,26.34,17.73,,
368,07/14/2023 14:36:15,27.37,55.63,26.34,17.73,,
369,07/14/2023 14:36:20,27.368,55.51,26.34,17.7,,
370,07/14/2023 14:36:25,27.365,55.45,26.34,17.68,,
371,07/14/2023 14:36:30,27.362,55.42,26.34,17.67,,
372,07/14/2023 14:36:35,27.354,55.34,26.34,17.64,,
373,07/14/2023 14:36:40,27.353,55.33,26.58,17.63,,
374,07/14/2023 14:36:45,27.351,55.31,26.34,17.63,,
375,07/14/2023 14:36:50,27.35,55.26,26.58,17.61,,
376,07/14/2023 14:36:55,27.346,55.21,26.58,17.59,,
377,07/14/2023 14:37:00,27.346,55.21,26.58,17.59,,
378,07/14/2023 14:37:05,27.343,55.18,26.58,17.58,,
379,07/14/2023 14:37:10,27.34,55.11,26.58,17.56,,
380,07/14/2023 14:37:15,27.333,55.05,26.34,17.53,,
381,07/14/2023 14:37:20,27.331,55.05,26.58,17.53,,
382,07/14/2023 14:37:25,27.325,55.01,26.58,17.51,,
383,07/14/2023 14:37:30,27.32,54.95,26.58,17.49,,
384,07/14/2023 14:37:35,27.317,54.91,26.58,17.48,,
385,07/14/2023 14:37:40,27.316,54.84,26.58,17.46,,
386,07/14/2023 14:37:45,27.313,54.83,26.58,17.45,,
387,07/14/2023 14:37:50,27.308,54.84,26.58,17.45,,
388,07/14/2023 14:37:55,27.303,54.77,26.58,17.43,,
389,07/14/2023 14:38:00,27.3,54.72,26.58,17.41,,
390,07/14/2023 14:38:05,27.3,54.72,26.58,17.41,,
391,07/14/2023 14:38:10,27.3,54.69,26.58,17.4,,
392,07/14/2023 14:38:15,27.3,54.66,26.58,17.39,,
393,07/14/2023 14:38:20,27.294,54.63,26.58,17.38,,
394,07/14/2023 14:38:25,27.293,54.64,26.58,17.38,,
395,07/14/2023 14:38:30,27.288,54.56,26.58,17.35,,
396,07/14/2023 14:38:35,27.288,54.57,26.58,17.35,,
397,07/14/2023 14:38:40,27.287,54.54,26.58,17.34,,
398,07/14/2023 14:38:45,27.283,54.53,26.58,17.34,,
399,07/14/2023 14:38:50,27.282,54.43,26.58,17.31,,
400,07/14/2023 14:38:55,27.276,54.43,26.58,17.3,,
401,07/14/2023 14:39:00,27.273,54.38,26.58,17.28,,
402,07/14/2023 14:39:05,27.271,54.34,26.58,17.27,,
403,07/14/2023 14:39:10,27.27,54.3,26.83,17.26,,
404,07/14/2023 14:39:15,27.268,54.28,26.83,17.25,,
405,07/14/2023 14:39:20,27.265,54.29,26.83,17.25,,
406,07/14/2023 14:39:25,27.263,54.25,26.83,17.24,,
407,07/14/2023 14:39:30,27.263,54.18,26.58,17.22,,
408,07/14/2023 14:39:35,27.26,54.16,26.83,17.21,,
409,07/14/2023 14:39:40,27.257,54.19,26.83,17.21,,
410,07/14/2023 14:39:45,27.253,54.15,26.83,17.2,,
411,07/14/2023 14:39:50,27.253,54.15,26.83,17.2,,
412,07/14/2023 14:39:55,27.254,54.16,26.83,17.2,,
413,07/14/2023 14:40:00,27.253,54.15,26.83,17.2,,
414,07/14/2023 14:40:05,27.253,54.13,26.83,17.19,,
415,07/14/2023 14:40:10,27.251,54.1,26.83,17.18,,
416,07/14/2023 14:40:15,27.248,54.06,26.83,17.17,,
417,07/14/2023 14:40:20,27.245,54.06,26.83,17.16,,
418,07/14/2023 14:40:25,27.242,54.03,26.83,17.15,,
419,07/14/2023 14:40:30,27.24,54,26.83,17.14,,
420,07/14/2023 14:40:35,27.239,53.95,26.83,17.13,,
421,07/14/2023 14:40:40,27.239,53.91,26.83,17.12,,
