#,日期-时间 (China Standard Time),Ch: 2 - 温度   (°C),Ch: 3 - 相对湿度   (%),Ch: 4 - 光   (lux),露点   (°C),连接的主机,文件结尾
195,05/27/2023 21:50:01,27.961,74.28,0,22.98,,
196,05/27/2023 21:51:01,27.966,73.96,0,22.92,,
197,05/27/2023 21:52:01,27.969,73.9,0,22.91,,
198,05/27/2023 21:53:01,27.972,73.94,0,22.92,,
199,05/27/2023 21:54:01,27.98,73.92,0,22.92,,
200,05/27/2023 21:55:01,27.978,73.86,0,22.91,,
201,05/27/2023 21:56:01,27.972,74.08,0,22.95,,
202,05/27/2023 21:57:01,27.975,73.94,0,22.92,,
203,05/27/2023 21:58:01,27.981,73.94,0,22.93,,
204,05/27/2023 21:59:01,27.986,74.49,0,23.05,,
205,05/27/2023 22:00:01,27.986,74.07,0,22.96,,
206,05/27/2023 22:01:01,27.986,73.99,0,22.94,,
207,05/27/2023 22:02:01,27.986,73.9,0,22.92,,
208,05/27/2023 22:03:01,27.98,74.29,0,23,,
209,05/27/2023 22:04:01,27.984,74.52,0,23.06,,
210,05/27/2023 22:05:01,27.987,74.07,0,22.96,,
211,05/27/2023 22:06:01,27.989,74.46,0,23.05,,
212,05/27/2023 22:07:01,27.989,74.03,0,22.95,,
213,05/27/2023 22:08:01,27.989,74.1,0,22.97,,
214,05/27/2023 22:09:01,27.987,74.26,0,23,,
215,05/27/2023 22:10:01,27.99,74.15,0,22.98,,
216,05/27/2023 22:11:01,27.995,74.33,0,23.03,,
217,05/27/2023 22:12:01,27.989,74.74,0,23.11,,
218,05/27/2023 22:13:01,27.987,74.14,0,22.98,,
219,05/27/2023 22:14:01,27.992,74.09,0,22.97,,
220,05/27/2023 22:15:01,27.992,74.41,0,23.04,,
221,05/27/2023 22:16:01,28,74.65,0,23.1,,
222,05/27/2023 22:17:01,27.998,74.7,0,23.11,,
223,05/27/2023 22:18:01,27.992,74.95,0,23.16,,
224,05/27/2023 22:19:01,27.99,74.46,0,23.05,,
225,05/27/2023 22:20:01,27.99,74.66,0,23.1,,
226,05/27/2023 22:21:01,27.993,74.57,0,23.08,,
227,05/27/2023 22:22:01,27.998,74.9,0,23.16,,
228,05/27/2023 22:23:01,28.009,74.11,0,22.99,,
229,05/27/2023 22:24:01,28.014,74.06,0,22.99,,
230,05/27/2023 22:25:01,28.01,74.32,0,23.04,,
231,05/27/2023 22:26:01,28.017,74.29,0,23.04,,
232,05/27/2023 22:27:01,28.017,74.79,0,23.15,,
233,05/27/2023 22:28:01,28.015,74.85,0,23.16,,
234,05/27/2023 22:29:01,28.021,74.27,0,23.04,,
235,05/27/2023 22:30:01,28.024,74.23,0,23.03,,
236,05/27/2023 22:31:01,28.015,74.71,0,23.13,,
237,05/27/2023 22:32:01,28.012,74.5,0,23.08,,
238,05/27/2023 22:33:01,28.014,74.29,0,23.04,,
239,05/27/2023 22:34:01,28.015,74.51,0,23.09,,
240,05/27/2023 22:35:01,28.015,74.49,0,23.08,,
241,05/27/2023 22:36:01,28.014,74.48,0,23.08,,
242,05/27/2023 22:37:01,28.009,74.42,0,23.06,,
243,05/27/2023 22:38:01,28.01,74.3,0,23.04,,
244,05/27/2023 22:39:01,28.009,74.49,0,23.08,,
245,05/27/2023 22:40:01,28.012,74.91,0,23.17,,
246,05/27/2023 22:41:01,28.01,74.72,0,23.13,,
247,05/27/2023 22:42:01,28.017,74.86,0,23.17,,
248,05/27/2023 22:43:01,28.024,74.88,0,23.18,,
249,05/27/2023 22:44:01,28.027,74.61,0,23.12,,
250,05/27/2023 22:45:01,28.034,74.49,0,23.1,,
251,05/27/2023 22:46:01,28.04,74.24,0,23.05,,
252,05/27/2023 22:47:01,28.04,74.69,0,23.15,,
253,05/27/2023 22:48:01,28.037,74.87,0,23.19,,
254,05/27/2023 22:49:01,28.037,74.66,59.32,23.14,,
255,05/27/2023 22:50:01,28.051,74.38,60.46,23.09,,
256,05/27/2023 22:51:01,28.044,72.38,60.46,22.64,,
257,05/27/2023 22:52:01,28.007,69.1,60.46,21.84,,
258,05/27/2023 22:53:01,27.919,66.57,60.46,21.14,,
259,05/27/2023 22:54:01,27.796,64.59,60.46,20.53,,
260,05/27/2023 22:55:01,27.679,64.29,60.46,20.35,,
261,05/27/2023 22:56:01,27.586,63.85,59.9,20.15,,
262,05/27/2023 22:57:01,27.516,63.62,59.9,20.02,,
263,05/27/2023 22:58:01,27.439,61.47,59.9,19.4,,
264,05/27/2023 22:59:01,27.357,59.44,59.9,18.78,,
265,05/27/2023 23:00:01,27.28,59.07,59.9,18.61,,
266,05/27/2023 23:01:01,27.208,58.35,59.9,18.34,,
267,05/27/2023 23:02:01,27.141,58.94,59.9,18.44,,
268,05/27/2023 23:03:01,27.069,56.91,59.9,17.81,,
269,05/27/2023 23:04:01,27.003,56.4,59.9,17.61,,
270,05/27/2023 23:05:01,26.938,55.86,59.9,17.4,,
271,05/27/2023 23:06:01,26.894,58.75,59.9,18.16,,
272,05/27/2023 23:07:01,26.9,60.04,59.9,18.51,,
273,05/27/2023 23:08:01,26.92,61.47,59.9,18.91,,
274,05/27/2023 23:09:01,26.938,63.76,59.9,19.51,,
275,05/27/2023 23:10:01,26.961,63.03,59.9,19.35,,
276,05/27/2023 23:11:01,26.957,62.26,59.9,19.15,,
277,05/27/2023 23:12:01,26.94,61.6,59.9,18.96,,
278,05/27/2023 23:13:01,26.924,62.22,59.9,19.11,,
279,05/27/2023 23:14:01,26.908,62.8,59.9,19.24,,
280,05/27/2023 23:15:01,26.892,62.2,59.9,19.07,,
281,05/27/2023 23:16:01,26.877,62.05,58.24,19.02,,
282,05/27/2023 23:17:01,26.863,63,59.9,19.25,,
283,05/27/2023 23:18:01,26.856,62.83,59.9,19.2,,
284,05/27/2023 23:19:01,26.848,63.54,59.9,19.37,,
285,05/27/2023 23:20:01,26.84,62.96,59.9,19.22,,
286,05/27/2023 23:21:01,26.831,66.56,59.9,20.11,,
287,05/27/2023 23:22:01,26.852,67.79,59.9,20.42,,
288,05/27/2023 23:23:01,26.868,68.57,59.32,20.62,,
289,05/27/2023 23:24:01,26.874,67.87,59.32,20.46,,
290,05/27/2023 23:25:01,26.88,68.34,59.32,20.58,,
291,05/27/2023 23:26:01,26.885,67.93,59.32,20.49,,
292,05/27/2023 23:27:01,26.885,68.04,59.32,20.51,,
293,05/27/2023 23:28:01,26.886,68.29,59.32,20.57,,
294,05/27/2023 23:29:01,26.888,68.41,59.32,20.61,,
295,05/27/2023 23:30:01,26.888,68.03,59.32,20.51,,
296,05/27/2023 23:31:01,26.892,68.04,59.32,20.52,,
297,05/27/2023 23:32:01,26.891,67.79,59.32,20.46,,
298,05/27/2023 23:33:01,26.888,67.72,58.24,20.44,,
299,05/27/2023 23:34:01,26.883,67.91,59.32,20.48,,
300,05/27/2023 23:35:01,26.883,67.73,59.32,20.44,,
301,05/27/2023 23:36:01,26.877,67.53,59.32,20.38,,
302,05/27/2023 23:37:01,26.872,67.58,58.24,20.39,,
303,05/27/2023 23:38:01,26.869,67.6,59.32,20.39,,
304,05/27/2023 23:39:01,26.866,67.43,59.32,20.35,,
305,05/27/2023 23:40:01,26.863,67.34,59.32,20.32,,
306,05/27/2023 23:41:01,26.859,67.51,0,20.36,,
307,05/27/2023 23:42:01,26.848,67.3,0,20.3,,
308,05/27/2023 23:43:01,26.845,67.15,0,20.26,,
309,05/27/2023 23:44:01,26.837,67.32,0,20.3,,
310,05/27/2023 23:45:01,26.822,66.39,0,20.06,,
311,05/27/2023 23:46:01,26.799,65.12,0,19.72,,
312,05/27/2023 23:47:01,26.782,65.48,0,19.8,,
313,05/27/2023 23:48:01,26.764,65.33,0.57,19.74,,
314,05/27/2023 23:49:01,26.744,65.58,0.57,19.78,,
315,05/27/2023 23:50:01,26.738,65.59,0.57,19.78,,
316,05/27/2023 23:51:01,26.739,65.76,0.57,19.82,,
317,05/27/2023 23:52:01,26.732,66.02,0.57,19.88,,
318,05/27/2023 23:53:01,26.724,66.24,0.57,19.92,,
319,05/27/2023 23:54:01,26.725,66.25,0,19.93,,
320,05/27/2023 23:55:01,26.727,66.24,0,19.93,,
321,05/27/2023 23:56:01,26.724,66.6,0,20.01,,
322,05/27/2023 23:57:01,26.721,66.51,0.57,19.99,,
323,05/27/2023 23:58:01,26.713,66.48,0.57,19.97,,
324,05/27/2023 23:59:01,26.716,66.76,0,20.04,,
325,05/28/2023 00:00:01,26.718,66.17,0,19.9,,
326,05/28/2023 00:01:01,26.713,66.1,0,19.88,,
327,05/28/2023 00:02:01,26.71,66.05,0,19.87,,
328,05/28/2023 00:03:01,26.707,66.05,0,19.86,,
329,05/28/2023 00:04:01,26.704,66.47,0,19.96,,
330,05/28/2023 00:05:01,26.699,66.36,0,19.93,,
331,05/28/2023 00:06:01,26.702,66.01,0,19.85,,
332,05/28/2023 00:07:01,26.699,65.74,0,19.78,,
333,05/28/2023 00:08:01,26.695,65.66,0,19.75,,
334,05/28/2023 00:09:01,26.69,65.53,0,19.72,,
335,05/28/2023 00:10:01,26.686,65.42,0,19.69,,
336,05/28/2023 00:11:01,26.684,65.44,0,19.69,,
337,05/28/2023 00:12:01,26.686,65.32,0,19.66,,
338,05/28/2023 00:13:01,26.683,65.18,0,19.63,,
339,05/28/2023 00:14:01,26.687,65.18,0,19.63,,
340,05/28/2023 00:15:01,26.67,64.99,0,19.57,,
341,05/28/2023 00:16:01,26.654,64.93,0,19.54,,
342,05/28/2023 00:17:01,26.635,64.87,0,19.5,,
343,05/28/2023 00:18:01,26.618,64.84,0,19.48,,
344,05/28/2023 00:19:01,26.603,64.79,0,19.45,,
345,05/28/2023 00:20:01,26.603,64.91,0,19.48,,
346,05/28/2023 00:21:01,26.603,64.84,0,19.47,,
347,05/28/2023 00:22:01,26.603,64.76,0,19.45,,
348,05/28/2023 00:23:01,26.595,64.06,0,19.26,,
349,05/28/2023 00:24:01,26.568,63.05,0,18.98,,
350,05/28/2023 00:25:01,26.547,64.58,0,19.35,,
351,05/28/2023 00:26:01,26.528,62.84,0,18.89,,
352,05/28/2023 00:27:01,26.513,63.02,0,18.92,,
353,05/28/2023 00:28:01,26.508,62.72,0,18.84,,
354,05/28/2023 00:29:01,26.51,62.77,0,18.86,,
355,05/28/2023 00:30:01,26.508,63,0,18.91,,
356,05/28/2023 00:31:01,26.507,62.96,0,18.9,,
357,05/28/2023 00:32:01,26.505,63.2,0,18.96,,
358,05/28/2023 00:33:01,26.505,63.22,0,18.97,,
359,05/28/2023 00:34:01,26.502,63.15,0,18.95,,
360,05/28/2023 00:35:01,26.493,62.97,0,18.89,,
361,05/28/2023 00:36:01,26.495,63.24,0,18.96,,
362,05/28/2023 00:37:01,26.49,63.03,0,18.9,,
363,05/28/2023 00:38:01,26.482,63.24,0,18.95,,
364,05/28/2023 00:39:01,26.484,64.23,0,19.2,,
365,05/28/2023 00:40:01,26.481,63.47,0,19.01,,
366,05/28/2023 00:41:01,26.472,63.71,0,19.06,,
367,05/28/2023 00:42:01,26.472,64.14,0,19.17,,
368,05/28/2023 00:43:01,26.47,63.48,0,19,,
369,05/28/2023 00:44:01,26.466,63.37,0,18.97,,
370,05/28/2023 00:45:01,26.461,63.31,0,18.95,,
371,05/28/2023 00:46:01,26.461,63.25,0,18.93,,
372,05/28/2023 00:47:01,26.462,63.22,0,18.93,,
373,05/28/2023 00:48:01,26.456,63.1,0,18.89,,
374,05/28/2023 00:49:01,26.453,62.97,0,18.85,,
375,05/28/2023 00:50:01,26.447,63.04,0,18.87,,
376,05/28/2023 00:51:01,26.444,63.66,0,19.02,,
377,05/28/2023 00:52:01,26.438,63.39,0,18.95,,
378,05/28/2023 00:53:01,26.433,63.26,0,18.91,,
379,05/28/2023 00:54:01,26.427,63.06,0,18.85,,
380,05/28/2023 00:55:01,26.424,62.72,0,18.76,,
381,05/28/2023 00:56:01,26.401,62.75,0,18.75,,
382,05/28/2023 00:57:01,26.383,62.78,0,18.74,,
383,05/28/2023 00:58:01,26.377,62.74,0,18.72,,
384,05/28/2023 00:59:01,26.374,62.92,0,18.77,,
385,05/28/2023 01:00:01,26.369,62.85,0,18.74,,
386,05/28/2023 01:01:01,26.36,62.67,0,18.69,,
387,05/28/2023 01:02:01,26.353,62.76,0,18.7,,
388,05/28/2023 01:03:01,26.348,63.4,0,18.86,,
389,05/28/2023 01:04:01,26.342,63.45,0,18.87,,
390,05/28/2023 01:05:01,26.331,62.88,0,18.72,,
391,05/28/2023 01:06:01,26.34,64.54,0,19.14,,
392,05/28/2023 01:07:01,26.342,63.72,0,18.94,,
393,05/28/2023 01:08:01,26.33,62.85,0,18.71,,
394,05/28/2023 01:09:01,26.324,62.61,0,18.64,,
395,05/28/2023 01:10:01,26.313,62.57,0,18.62,,
396,05/28/2023 01:11:01,26.307,62.77,0,18.67,,
397,05/28/2023 01:12:01,26.305,62.96,0,18.71,,
398,05/28/2023 01:13:01,26.29,61.78,0,18.39,,
399,05/28/2023 01:14:01,26.263,60.35,0,18,,
400,05/28/2023 01:15:01,26.227,60.77,0,18.07,,
401,05/28/2023 01:16:01,26.205,61.4,0,18.21,,
402,05/28/2023 01:17:01,26.189,60.79,0,18.04,,
403,05/28/2023 01:18:01,26.18,60.7,0,18.01,,
404,05/28/2023 01:19:01,26.179,61.71,0,18.27,,
405,05/28/2023 01:20:01,26.182,61.25,0,18.16,,
406,05/28/2023 01:21:01,26.177,61.27,0,18.16,,
407,05/28/2023 01:22:01,26.18,61.44,0,18.2,,
408,05/28/2023 01:23:01,26.183,61.76,0,18.29,,
409,05/28/2023 01:24:01,26.2,62.42,0,18.47,,
410,05/28/2023 01:25:01,26.2,61.71,0,18.29,,
411,05/28/2023 01:26:01,26.192,61.81,0,18.31,,
412,05/28/2023 01:27:01,26.186,62.65,0,18.52,,
413,05/28/2023 01:28:01,26.185,62.06,0,18.37,,
414,05/28/2023 01:29:01,26.18,62.07,0,18.37,,
415,05/28/2023 01:30:01,26.176,62.06,0,18.36,,
416,05/28/2023 01:31:01,26.176,62.14,0,18.38,,
417,05/28/2023 01:32:01,26.176,62.46,0,18.46,,
418,05/28/2023 01:33:01,26.17,62.09,0,18.36,,
419,05/28/2023 01:34:01,26.165,61.96,0,18.32,,
420,05/28/2023 01:35:01,26.163,61.94,0,18.32,,
421,05/28/2023 01:36:01,26.153,61.87,0,18.29,,
422,05/28/2023 01:37:01,26.142,61.94,0,18.3,,
423,05/28/2023 01:38:01,26.136,61.92,0,18.29,,
424,05/28/2023 01:39:01,26.13,62.08,0,18.32,,
425,05/28/2023 01:40:01,26.125,61.95,0,18.28,,
426,05/28/2023 01:41:01,26.124,62,0,18.3,,
427,05/28/2023 01:42:01,26.127,61.91,0,18.27,,
428,05/28/2023 01:43:01,26.124,61.94,0,18.28,,
429,05/28/2023 01:44:01,26.119,61.97,0,18.28,,
430,05/28/2023 01:45:01,26.119,61.95,0,18.28,,
431,05/28/2023 01:46:01,26.113,62.51,0,18.42,,
432,05/28/2023 01:47:01,26.113,62.47,0,18.41,,
433,05/28/2023 01:48:01,26.112,62.05,0,18.3,,
434,05/28/2023 01:49:01,26.109,61.96,0,18.27,,
435,05/28/2023 01:50:01,26.107,61.83,0,18.23,,
436,05/28/2023 01:51:01,26.098,61.76,0,18.21,,
437,05/28/2023 01:52:01,26.093,62.05,0,18.28,,
438,05/28/2023 01:53:01,26.087,61.85,0,18.22,,
439,05/28/2023 01:54:01,26.089,61.91,0,18.24,,
440,05/28/2023 01:55:01,26.087,61.81,0,18.21,,
441,05/28/2023 01:56:01,26.086,61.74,0,18.19,,
442,05/28/2023 01:57:01,26.077,61.68,0,18.17,,
